# Residuals  
# Time       	p_rgh        	k            	epsilon      
0.11976      	1.000000e+00	1.000000e+00	3.887170e-02
0.262784     	2.958880e-01	5.410810e-01	3.620100e-03
0.432932     	1.588390e-01	3.181520e-01	3.798060e-03
0.636756     	1.046590e-01	2.394440e-01	3.915000e-03
0.878796     	8.534110e-02	1.980800e-01	4.214350e-03
1.16851      	7.632390e-02	1.754940e-01	5.321470e-03
1.5109       	6.865220e-02	1.597850e-01	6.607080e-03
1.91284      	6.273680e-02	1.487810e-01	8.022550e-03
2.38882      	5.908130e-02	1.432280e-01	9.593630e-03
2.95692      	5.750610e-02	1.407920e-01	1.145790e-02
3.61242      	5.442520e-02	1.358810e-01	1.331400e-02
4.39278      	5.352730e-02	1.371080e-01	1.666490e-02
5.31086      	5.245320e-02	1.380540e-01	2.022220e-02
6.29013      	4.725900e-02	1.280590e-01	2.312200e-02
7.26941      	4.088020e-02	1.139570e-01	2.521570e-02
8.24868      	3.617420e-02	1.033590e-01	2.791200e-02
9.22796      	3.269300e-02	9.495170e-02	3.102400e-02
10.2072      	3.018570e-02	8.808460e-02	3.407770e-02
11.1865      	2.848930e-02	8.233820e-02	3.721270e-02
12.1658      	2.737110e-02	7.742610e-02	4.041930e-02
13.1451      	2.676680e-02	7.309670e-02	4.385970e-02
14.1243      	2.641740e-02	6.931120e-02	4.738200e-02
15.1036      	2.636210e-02	6.595620e-02	5.102270e-02
16.0829      	2.648220e-02	6.296070e-02	5.504270e-02
17.0622      	2.671660e-02	6.025220e-02	5.937240e-02
18.0414      	2.703840e-02	5.777430e-02	6.374360e-02
19.0207      	2.747500e-02	5.549550e-02	6.805730e-02
20           	2.801640e-02	5.338580e-02	7.199200e-02
20.9524      	2.834310e-02	5.010130e-02	7.359760e-02
21.9048      	2.891430e-02	4.837490e-02	7.612490e-02
22.8571      	2.962590e-02	4.675010e-02	7.774070e-02
23.8095      	3.044330e-02	4.520370e-02	7.795040e-02
24.7619      	3.132770e-02	4.387890e-02	7.101200e-02
25.7143      	2.997170e-02	4.231140e-02	6.778250e-02
26.6667      	3.183250e-02	4.079060e-02	6.453730e-02
27.619       	3.378380e-02	3.935440e-02	6.181610e-02
28.5714      	3.537360e-02	3.799950e-02	5.917560e-02
29.5238      	3.670890e-02	3.669960e-02	5.662920e-02
30.4762      	3.798010e-02	3.545820e-02	5.418650e-02
31.4286      	3.896650e-02	3.427250e-02	5.183720e-02
32.381       	3.978370e-02	3.313460e-02	4.968500e-02
33.3333      	4.030400e-02	3.204110e-02	4.763150e-02
34.2857      	4.076060e-02	3.100540e-02	4.584150e-02
35.2381      	4.090180e-02	3.002810e-02	4.421580e-02
36.1905      	4.078700e-02	2.910220e-02	4.262020e-02
37.1429      	4.034630e-02	2.822570e-02	4.107520e-02
38.0952      	3.962450e-02	2.740760e-02	3.968170e-02
39.0476      	3.864270e-02	2.663150e-02	3.828290e-02
40           	3.744010e-02	2.589560e-02	3.687360e-02
40.9524      	3.601310e-02	2.519970e-02	3.555990e-02
41.9048      	3.439940e-02	2.454550e-02	3.427520e-02
42.8571      	3.260060e-02	2.393140e-02	3.309400e-02
43.8095      	3.068890e-02	2.335320e-02	3.199330e-02
44.7619      	2.869560e-02	2.280920e-02	3.093980e-02
45.7143      	2.666570e-02	2.230590e-02	2.997620e-02
46.6667      	2.464600e-02	2.183670e-02	2.908490e-02
47.619       	2.265990e-02	2.139620e-02	2.823790e-02
48.5714      	2.071410e-02	2.097470e-02	2.744450e-02
49.5238      	1.882780e-02	2.059200e-02	2.675980e-02
50.4762      	1.702510e-02	2.022800e-02	2.606400e-02
51.4286      	1.529760e-02	1.986320e-02	2.537750e-02
52.381       	1.400770e-02	1.950790e-02	2.471190e-02
53.3333      	1.298270e-02	1.916470e-02	2.405640e-02
54.2857      	1.246990e-02	1.883190e-02	2.343270e-02
