# Residuals  
# Time       	p_rgh        	k            	epsilon      
0.11976      	1.000000e+00	1.000000e+00	3.747790e-02
0.262784     	2.984710e-01	2.517180e-01	3.915170e-03
0.432932     	1.617850e-01	1.333050e-01	1.029120e-02
0.636756     	1.084780e-01	8.879990e-02	1.664770e-02
0.878796     	9.051890e-02	6.603520e-02	2.156990e-02
1.16851      	8.241710e-02	5.391520e-02	2.601030e-02
1.5109       	7.579820e-02	4.687250e-02	2.927930e-02
1.91284      	7.100180e-02	4.310670e-02	2.956770e-02
2.38882      	6.775730e-02	4.181220e-02	2.846650e-02
2.95692      	6.729880e-02	4.207030e-02	2.653090e-02
3.61242      	6.531040e-02	4.226610e-02	2.339600e-02
4.39278      	6.572890e-02	4.398120e-02	2.125430e-02
5.31086      	6.574240e-02	4.578720e-02	1.910440e-02
6.29013      	6.063010e-02	4.523720e-02	1.685520e-02
7.26941      	5.339690e-02	4.338460e-02	1.501350e-02
8.24868      	4.767640e-02	4.189790e-02	1.380360e-02
9.22796      	4.312410e-02	4.067420e-02	1.304130e-02
10.2072      	3.945090e-02	3.960260e-02	1.261310e-02
11.1865      	3.656170e-02	3.867230e-02	1.233310e-02
12.1658      	3.419340e-02	3.786190e-02	1.212940e-02
13.1451      	3.225430e-02	3.709490e-02	1.196080e-02
14.1243      	3.065060e-02	3.640520e-02	1.183890e-02
15.1036      	2.928950e-02	3.577490e-02	1.174570e-02
16.0829      	2.816700e-02	3.516500e-02	1.168610e-02
17.0622      	2.721250e-02	3.457920e-02	1.163070e-02
18.0414      	2.648920e-02	3.402530e-02	1.158030e-02
19.0207      	2.586160e-02	3.349200e-02	1.151110e-02
20           	2.541950e-02	3.296590e-02	1.144040e-02
20.9524      	2.482960e-02	3.180360e-02	1.126040e-02
21.9048      	2.454640e-02	3.131060e-02	1.118980e-02
22.8571      	2.437430e-02	3.081750e-02	1.109350e-02
23.8095      	2.445070e-02	3.032690e-02	1.101180e-02
24.7619      	2.456110e-02	2.982770e-02	1.092250e-02
25.7143      	2.479760e-02	2.932580e-02	1.083050e-02
26.6667      	2.513990e-02	2.882120e-02	1.074090e-02
27.619       	2.551770e-02	2.831000e-02	1.060610e-02
28.5714      	2.692480e-02	2.779570e-02	1.046320e-02
29.5238      	2.837690e-02	2.727600e-02	1.032030e-02
30.4762      	2.858730e-02	2.675080e-02	1.017700e-02
31.4286      	2.881870e-02	2.621820e-02	1.001760e-02
32.381       	2.914210e-02	2.568420e-02	9.855060e-03
33.3333      	2.943960e-02	2.515550e-02	9.713250e-03
34.2857      	2.961070e-02	2.463010e-02	9.554230e-03
35.2381      	2.974880e-02	2.411160e-02	9.423230e-03
36.1905      	2.987920e-02	2.360100e-02	9.279400e-03
37.1429      	2.993890e-02	2.310170e-02	9.130320e-03
38.0952      	2.986160e-02	2.261190e-02	8.985010e-03
39.0476      	2.967580e-02	2.213180e-02	8.813450e-03
40           	2.956480e-02	2.166150e-02	8.644200e-03
40.9524      	2.947430e-02	2.120510e-02	8.471690e-03
41.9048      	2.882200e-02	2.076310e-02	8.314470e-03
42.8571      	2.801670e-02	2.033610e-02	8.129990e-03
43.8095      	2.709870e-02	1.992360e-02	7.973790e-03
44.7619      	2.611890e-02	1.952510e-02	7.807900e-03
45.7143      	2.506800e-02	1.914200e-02	7.640130e-03
46.6667      	2.394220e-02	1.877540e-02	7.484600e-03
47.619       	2.275800e-02	1.842210e-02	7.320110e-03
48.5714      	2.154310e-02	1.808630e-02	7.165040e-03
49.5238      	2.031550e-02	1.776530e-02	7.024430e-03
50.4762      	1.962120e-02	1.745930e-02	6.876110e-03
51.4286      	1.832390e-02	1.716720e-02	6.731030e-03
52.381       	1.702180e-02	1.689020e-02	6.586910e-03
53.3333      	1.572030e-02	1.662700e-02	6.443490e-03
54.2857      	1.444990e-02	1.637710e-02	6.324310e-03
55.2381      	1.329130e-02	1.613900e-02	6.200420e-03
56.1905      	1.256960e-02	1.591010e-02	6.088910e-03
57.1429      	1.201220e-02	1.568930e-02	5.974710e-03
58.0952      	1.186250e-02	1.547630e-02	5.864690e-03
59.0476      	1.218710e-02	1.526940e-02	5.759180e-03
60           	1.240310e-02	1.506860e-02	5.657070e-03
60.9524      	1.253510e-02	1.487290e-02	5.554260e-03
61.9048      	1.283690e-02	1.468200e-02	5.446650e-03
62.8571      	1.316740e-02	1.449510e-02	5.341580e-03
63.8095      	1.392920e-02	1.431250e-02	5.243200e-03
64.7619      	1.582740e-02	1.413350e-02	5.139320e-03
65.7143      	3.525060e-02	1.396220e-02	5.035920e-03
66.6667      	5.359560e-02	1.379540e-02	4.943180e-03
67.619       	5.410360e-02	1.363160e-02	4.849610e-03
68.5714      	5.109530e-02	1.347100e-02	4.760710e-03
69.5238      	4.746090e-02	1.331340e-02	4.670560e-03
70.4762      	4.399860e-02	1.315970e-02	4.585490e-03
71.4286      	4.077510e-02	1.300920e-02	4.500200e-03
72.381       	3.787420e-02	1.286070e-02	4.419290e-03
73.3333      	3.521150e-02	1.271460e-02	4.339180e-03
74.2857      	3.260260e-02	1.257090e-02	4.261090e-03
75.2381      	3.029760e-02	1.243040e-02	4.182610e-03
76.1905      	2.823070e-02	1.229010e-02	4.102940e-03
77.1429      	2.680830e-02	1.215190e-02	4.021190e-03
78.0952      	2.600610e-02	1.201670e-02	3.937530e-03
79.0476      	2.539440e-02	1.188480e-02	3.864770e-03
80           	2.483140e-02	1.175680e-02	3.788940e-03
80.9524      	2.436710e-02	1.163390e-02	3.718180e-03
81.9048      	2.403760e-02	1.151230e-02	3.646670e-03
82.8571      	3.519040e-02	1.139690e-02	3.576460e-03
83.8095      	4.903910e-02	1.128110e-02	3.506600e-03
84.7619      	5.026340e-02	1.116540e-02	3.437850e-03
85.7143      	5.135860e-02	1.104480e-02	3.369840e-03
86.6667      	5.203440e-02	1.092600e-02	3.302110e-03
87.619       	5.055510e-02	1.080660e-02	3.234740e-03
88.5714      	4.747460e-02	1.068810e-02	3.168810e-03
89.5238      	4.442650e-02	1.057120e-02	3.103180e-03
90.4762      	4.158780e-02	1.045470e-02	3.040250e-03
91.4286      	3.892990e-02	1.033840e-02	2.977890e-03
92.381       	3.641080e-02	1.022340e-02	2.917180e-03
93.3333      	3.408150e-02	1.010930e-02	2.857140e-03
94.2857      	3.199400e-02	9.996760e-03	2.798010e-03
95.2381      	2.991750e-02	9.883740e-03	2.740040e-03
96.1905      	2.826060e-02	9.772290e-03	2.683640e-03
97.1429      	2.729350e-02	9.662090e-03	2.628460e-03
98.0952      	2.670070e-02	9.553460e-03	2.574590e-03
99.0476      	2.611590e-02	9.446130e-03	2.521360e-03
100          	2.562700e-02	9.339360e-03	2.469480e-03
100.952      	2.776720e-02	9.234960e-03	2.418320e-03
101.905      	4.382640e-02	9.135210e-03	2.367910e-03
102.857      	4.589930e-02	9.032440e-03	2.319090e-03
103.81       	4.707300e-02	8.928720e-03	2.270740e-03
104.762      	4.791450e-02	8.825050e-03	2.223730e-03
105.714      	4.840130e-02	8.721260e-03	2.177640e-03
106.667      	4.736400e-02	8.618430e-03	2.132510e-03
107.619      	4.491610e-02	8.516860e-03	2.087490e-03
108.571      	4.228520e-02	8.415270e-03	2.043760e-03
109.524      	3.986670e-02	8.316370e-03	2.001360e-03
110.476      	3.764220e-02	8.215530e-03	1.959720e-03
111.429      	3.554600e-02	8.116140e-03	1.918260e-03
112.381      	3.356610e-02	8.017910e-03	1.878200e-03
113.333      	3.180940e-02	7.920640e-03	1.838650e-03
114.286      	3.010710e-02	7.823970e-03	1.799940e-03
115.238      	2.863940e-02	7.728320e-03	1.761930e-03
116.19       	2.743070e-02	7.633470e-03	1.724460e-03
117.143      	2.681190e-02	7.539760e-03	1.687480e-03
118.095      	2.642020e-02	7.447280e-03	1.651310e-03
119.048      	2.605950e-02	7.355450e-03	1.615770e-03
120          	2.732400e-02	7.265300e-03	1.581570e-03
120.952      	4.122770e-02	7.179720e-03	1.552030e-03
121.905      	4.285400e-02	7.091980e-03	1.525370e-03
122.857      	4.345200e-02	7.003970e-03	1.511080e-03
123.81       	4.403530e-02	6.915740e-03	1.474960e-03
124.762      	4.448060e-02	6.827630e-03	1.441660e-03
125.714      	4.453330e-02	6.740600e-03	1.407780e-03
126.667      	4.311390e-02	6.652850e-03	1.380380e-03
127.619      	4.090220e-02	6.565260e-03	1.354270e-03
128.571      	3.868050e-02	6.478120e-03	1.325230e-03
129.524      	3.652290e-02	6.391470e-03	1.294180e-03
130.476      	3.460440e-02	6.305780e-03	1.260910e-03
131.429      	3.296250e-02	6.220710e-03	1.232000e-03
132.381      	3.154570e-02	6.136740e-03	1.209090e-03
133.333      	3.020140e-02	6.053100e-03	1.184210e-03
134.286      	2.895390e-02	5.970540e-03	1.155810e-03
